"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","%D","ADP","Ros","GP","G","A","A1","A2","PIM","SOG","Shot%","TS%","PPP","Hit","Blk","TOIES","TOIPP","TOISH","Cor","ZS%"
"*04qy5*","Kirill Marchenko","CBJ","RW","41","Sam","25","","2,140,000","1st","535.65","6.78","100","72.3","99%","79","31","43","29","14","20","207","15.0","7.1","19","55","38","1261:14","202:16","04:34","147","0.66"
"*051z0*","Tim Stutzle","OTT","C","42","Logan","23","","5,115,223","2027","532.4","6.49","100","49.4","100%","82","24","55","27","28","46","162","14.8","7.4","33","130","45","1334:33","288:05","02:02","252","0.75"
"*03duf*","Dylan Larkin","DET","C","43","Abby","29","","5,515,000","2028","531.3","6.48","100","82","99%","82","30","40","27","13","40","234","12.8","6.6","27","44","33","1299:18","257:23","89:07","109","0.59"
"*03rmx*","Sebastian Aho","CAR","C","44","Logan","28","","5,212,148","2026","528.65","6.69","100","60.7","99%","79","29","45","33","12","46","207","14.0","6.5","23","59","30","1170:31","281:27","135:57","526","0.72"
"*038vb*","Travis Konecny","PHI","RW","45","Joel","28","","3,873,861","2025","528.1","6.44","100","64.1","99%","82","24","52","35","17","53","188","12.8","5.9","17","94","42","1360:21","229:12","99:53","-24","0.66"
"*05tqt*","Wyatt Johnston","DAL","C,RW","46","Nate","22","","4,688,000","2028","526.15","6.42","100","66.6","99%","82","33","38","25","13","14","202","16.3","8.5","25","45","47","1180:07","249:12","122:36","-130","0.59"
"*05gvq*","Seth Jarvis","CAR","RW","47","Joel","23","","4,714,000","2028","523.55","7.17","100","50.1","99%","73","32","35","22","13","16","204","15.7","8.2","19","93","51","1029:58","247:03","135:58","398","0.67"
"*03as9*","Dylan Strome","WSH","C","48","Shannon","28","","2,349,000","1st","523.05","6.38","100","126.3","99%","82","29","53","27","26","34","149","19.5","10.7","34","23","54","1177:51","245:49","01:48","5","0.82"
"*04lc0*","Evan Bouchard","EDM","D","49","Logan","25","","2,960,996","2025","522.25","6.37","100","20.6","99%","82","14","53","14","39","32","235","6.0","2.6","26","31","108","1636:06","269:01","18:28","636","0.69"
"*02b76*","Vincent Trocheck","NYR","C","50","Seth","32","PIT Tue 6:00PM","3,378,000","2025","521.9","6.36","100","98.1","97%","82","26","33","17","16","44","202","12.9","6.8","12","214","78","1320:20","227:34","182:13","119","0.64"
"*04ad7*","Rasmus Dahlin","BUF","D","51","Murica","25","","3,176,000","1st","520.25","7.13","100","16.7","99%","73","17","51","27","24","54","200","8.5","3.9","21","101","98","1487:03","230:27","51:42","291","0.62"
"*0457f*","Nico Hischier","NJD","C","54","Daniel","26","","5,618,000","2028","517.9","6.91","100","80.9","99%","75","35","34","22","12","20","187","18.7","10.1","29","44","60","1158:23","216:08","154:35","220","0.59"
"*01ex7*","Matt Duchene","DAL","C,RW","55","Sam","34","","2,418,000","1st","512.15","6.25","100","149.6","95%","82","30","52","26","26","12","152","19.7","10.1","27","29","21","1193:30","206:14","05:59","27","0.58"
"*04f2d*","Drake Batherson","OTT","RW","56","Daniel","27","","4,554,000","2027","510.65","6.23","100","91.4","99%","82","26","42","27","15","30","192","13.5","7.3","31","149","30","1218:15","268:35","00:51","15","0.63"
"*04bdb*","Jack Hughes","NJD","C,LW","57","Logan","24","","5,077,787","2024","510.55","8.23","100","13.6","99%","62","27","43","29","14","18","229","11.8","5.8","27","7","29","1045:50","199:08","50:53","266","0.78"
"*03dms*","Kevin Fiala","LAK","LW,RW","58","Murica","29","COL Tue 8:30PM","4,394,000","2026","507.55","6.27","100","66.1","97%","81","35","25","14","11","38","244","14.3","6.8","25","63","22","1250:05","247:17","02:14","335","0.63"
"*04lbz*","Quinn Hughes","VAN","D","59","Nate","25","","2,989,000","1st","507.15","7.46","100","14.7","99%","68","16","60","34","26","29","192","8.3","3.3","29","13","67","1485:24","252:02","12:09","323","0.71"
"*05w9c*","Mack Celebrini","SJS","C","60","Jason","19","","2,657,000","1st","502.95","7.19","100","53.2","99%","70","25","38","18","20","28","236","10.6","5.5","22","37","53","1151:34","221:52","11:44","6","0.65"
"*03167*","Bo Horvat","NYI","C","61","Adam","30","","6,583,932","2026","499.1","6.16","98","136.7","92%","81","28","29","19","10","16","243","11.5","6.2","7","100","40","1310:37","235:25","88:01","79","0.62"
"*03ra8*","Timo Meier","NJD","LW,RW","62","Shannon","28","","4,386,162","2025","499.05","6.24","100","69.8","96%","80","26","27","14","13","58","239","10.9","5.0","13","141","65","1277:06","149:55","01:45","189","0.54"
"*01zvp*","Bryan Rust","PIT","RW","63","Abby","33","@NYR Tue 6:00PM","2,842,000","1st","498.2","7.02","99","105","94%","71","31","34","23","11","18","191","16.2","9.3","18","62","54","1124:54","192:38","84:46","-63","0.65"
"*01c13*","Victor Hedman","TBL","D","64","Chris","34","","4,844,704","2025","496.95","6.29","100","33.4","99%","79","15","51","26","24","30","181","8.3","3.2","26","39","133","1461:04","235:43","126:31","200","0.66"
"*051yz*","Dylan Holloway","STL","LW","65","Daniel","23","","1,897,000","1st","494.85","6.43","99","92.5","98%","77","26","37","21","16","10","178","14.6","7.7","13","165","50","1150:23","128:06","17:00","81","0.59"
"*04apb*","Robert Thomas","STL","C","66","Abby","26","","4,061,554","2025","494.75","7.07","100","77.2","98%","70","21","60","35","25","20","145","14.5","6.8","19","13","48","1137:24","168:39","91:01","67","0.60"
"*02aez*","J.T. Miller","NYR","C,RW","67","Logan","32","PIT Tue 6:00PM","3,513,000","1st","486.9","6.76","100","35.5","99%","72","22","48","31","17","55","137","16.1","8.1","22","168","50","1019:47","215:16","75:22","35","0.60"
"*02440*","Anders Lee","NYI","LW","68","Murica","35","","2,324,000","1st","486.85","5.94","93","183.2","69%","82","29","25","16","9","35","233","12.4","7.4","9","121","39","1197:46","201:04","00:07","113","0.62"
"*02nok*","Tomas Hertl","VGK","C,LW","69","Shannon","31","","4,332,386","2025","484.65","6.64","100","108.4","94%","73","32","29","16","13","20","177","18.1","10.0","23","99","56","1042:45","197:02","09:44","156","0.69"
"*031v6*","MacKenzie Weegar","CGY","D","70","Logan","31","","2,690,000","1st","484.55","5.98","100","35","98%","81","8","39","15","24","33","184","4.3","1.7","21","223","192","1575:44","229:08","152:27","284","0.59"
"*039cg*","Sam Bennett","FLA","C","72","Chris","29","CHI Tue 3:00PM","2,113,000","1st","481.45","6.33","99","147.2","93%","76","25","26","17","9","90","241","10.4","5.9","11","145","45","1141:34","179:02","05:52","221","0.65"
"*04zo0*","Pavel Dorofeyev","VGK","LW,RW","73","Murica","24","","1,916,000","1st","481.3","5.87","99","107.1","96%","82","35","17","8","9","30","254","13.8","8.0","17","28","37","1177:06","177:17","00:48","190","0.70"
"*04y4m*","Connor Bedard","CHI","C","74","Joel","20","@FLA Tue 3:00PM","6,246,000","2030","480.75","5.86","100","72.7","99%","82","23","44","28","16","70","195","11.8","5.7","29","47","37","1444:13","214:30","04:42","-334","0.67"
"*059e0*","Jake Sanderson","OTT","D","75","Adam","23","","2,993,000","2025","477.5","5.97","100","39.6","99%","80","11","46","20","26","12","195","5.6","2.6","30","38","163","1472:43","275:07","207:32","-8","0.54"
"*02un7*","Aleksander Barkov","FLA","C","76","Murica","30","CHI Tue 3:00PM","6,100,633","2026","477.05","7.12","100","42.6","99%","67","20","51","27","24","16","149","13.4","6.6","28","87","54","1035:55","219:47","101:35","416","0.67"
"*03eb0*","Ryan Donato","CHI","C,LW,RW","77","Joel","29","@FLA Tue 3:00PM","1,381,000","1st","472.4","5.9","97","156.2","85%","80","31","31","25","6","41","182","17.0","9.2","14","104","18","1152:06","149:14","03:24","-175","0.58"
"*03rf2*","Roope Hintz","DAL","C","78","Seth","28","","4,458,649","2025","472.25","6.21","100","111.1","96%","76","28","39","27","12","30","160","17.5","9.8","20","53","46","982:10","208:48","92:46","-71","0.59"
