"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Salary","Contract","FPts","FP/G","%D","ADP","Ros","GP","G","A","A1","A2","PIM","SOG","Shot%","TS%","PPP","Hit","Blk","TOIES","TOIPP","TOISH","Cor","ZS%"
"*01zvd*","Chris Crane","(N/A)","RW","2265","FA","33","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*05xp1*","Matt Crasa","(N/A)","C,RW","2267","FA","24","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03woi*","Marcus Crawford","(N/A)","D","2268","FA","28","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01ucy*","Nick Crawford","(N/A)","D","2269","FA","35","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*048xu*","Brandon Crawley","NYR","D","2270","FA","28","PIT Tue 6:00PM","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*04juw*","Troy Crema","(N/A)","RW","2271","FA","30","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*023vj*","Andrew Crescenzi","(N/A)","C","2272","FA","33","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*05acr*","Jackson Cressey","(N/A)","RW","2273","FA","29","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*04ggk*","Antoine Crete-Belzile","(N/A)","D","2274","FA","26","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*04xbf*","Marc-Olivier Crevier-Morin","NYR","D","2275","FA","29","PIT Tue 6:00PM","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*031ov*","Connor Crisp","(N/A)","C","2277","FA","31","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*003nm*","B.J. Crombeen","(N/A)","RW","2281","FA","40","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*05xw5*","Hank Crone","(N/A)","LW","2282","FA","27","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01c9l*","Paul Crowder","(N/A)","RW","2287","FA","40","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*066pi*","Grant Cruikshank","WSH","C","2288","FA","27","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*031qm*","Victor Crus Rydberg","NYI","C","2289","FA","30","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03yh7*","Ralph Cuddemi","(N/A)","LW","2290","FA","32","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*04z2t*","Diego Cuglietta","(N/A)","LW","2291","FA","30","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03rgy*","Karlis Cukste","(N/A)","D","2292","FA","28","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01zsv*","Jakub Culek","OTT","LW","2293","FA","32","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*05rgf*","Will Cullen","(N/A)","D","2295","FA","29","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*0490x*","Patrick Cullity","(N/A)","D","2296","FA","38","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*015x4*","Tyler Cuma","(N/A)","D","2297","FA","35","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*003la*","Kyle Cumiskey","(N/A)","D","2299","FA","38","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*015qt*","Mark Cundari","(N/A)","D","2300","FA","35","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*004mi*","Cam Cunning","(N/A)","LW","2301","FA","40","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01zsf*","Craig Cunningham","(N/A)","LW,RW","2302","FA","34","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01gjt*","Luca Cunti","TBL","C","2303","FA","36","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02odi*","Gianluca Curcuruto","CBJ","D","2305","FA","31","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02y90*","Josh Currie","OTT","C,RW","2307","FA","32","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*003fn*","Sean Curry","(N/A)","D","2310","FA","43","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*015pw*","Jakub Cutta","(N/A)","D","2311","FA","43","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*05976*","Mike Cyr","(N/A)","C","2312","FA","26","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*030w0*","Austin Czarnik","(N/A)","C","2313","FA","32","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*023rz*","Robert Czarnik","(N/A)","C","2314","FA","35","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03aot*","Scott Czarnowczan","(N/A)","D","2315","FA","34","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01zsk*","Drew Czerwonka","EDM","LW","2317","FA","33","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03aou*","Kevin Czuczman","MIN","D","2318","FA","34","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*003v7*","Matt DAgostini","(N/A)","RW","2319","FA","38","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02ye0*","Nick DAgostino","(N/A)","D","2320","FA","35","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03rrn*","Patrick DAmico","(N/A)","C","2323","FA","30","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01s64*","Jerry DAmigo","(N/A)","RW","2324","FA","34","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*004ow*","Jonathan DAversa","(N/A)","D","2327","FA","39","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*0243w*","Stephane Da Costa","(N/A)","C","2329","FA","36","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*004kc*","Dan DaSilva","SJS","RW","2330","FA","40","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*06rnr*","Maddox Dagenais","(N/A)","C","2332","FA","17","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03c6m*","Simon Dahl","(N/A)","RW","2333","FA","34","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02g1d*","Klas Dahlbeck","(N/A)","D","2334","FA","34","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01zqt*","Andreas Dahlstrom","(N/A)","C","2338","FA","33","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*031ob*","Carl Dahlstrom","TOR","LW,D","2339","FA","30","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*038tb*","Mike Dalhuisen","(N/A)","D","2345","FA","36","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03o9j*","Marek Daloga","(N/A)","D","2346","FA","36","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01bvm*","Zac Dalpe","(N/A)","C","2347","FA","35","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03kiv*","Dexter Dancs","(N/A)","LW","2350","FA","30","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*06mhc*","Ty Daneault","(N/A)","RW","2351","FA","20","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01mny*","Justin Daniels","SJS","C","2353","FA","36","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*043c3*","Hugo Danielsson","(N/A)","D","2355","FA","27","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01f8p*","Simon Danis-Pepin","(N/A)","D","2357","FA","37","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*031ny*","Marko Dano","WPG","C","2358","FA","30","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01uh5*","Jean-Michel Daoust","(N/A)","RW","2360","FA","41","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03ee7*","Cam Darcy","STL","C","2362","FA","31","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*05yjy*","Lauris Darzins","(N/A)","LW,RW","2367","FA","40","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*004lx*","Kaspars Daugavins","(N/A)","LW","2368","FA","37","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*06hd0*","Alexis Daviault","(N/A)","D","2370","FA","20","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01zr1*","Brandon Davidson","BUF","D","2371","FA","34","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*060ev*","Jayden Davis","(N/A)","LW","2379","FA","25","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*04xbl*","Kevin Davis","COL","D","2380","FA","28","@LAK Tue 8:30PM","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*0058c*","Nathan Davis","CHI","LW","2382","FA","39","@FLA Tue 3:00PM","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*003xm*","Patrick Davis","(N/A)","C","2383","FA","38","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*061jv*","Daniil Davydov","(N/A)","C,LW","2384","FA","21","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*0040b*","Nigel Dawes","(N/A)","LW","2386","FA","40","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*024di*","Brian Day","NYI","RW","2387","FA","37","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*04xbh*","Logan Day","WSH","D","2388","FA","30","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02oay*","James De Haas","(N/A)","D","2391","FA","31","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03d0t*","Paul De Jersey","(N/A)","RW","2392","FA","33","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*04f7t*","Brendan De Jong","CAR","D","2393","FA","27","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*05rfy*","Ethan De Jong","EDM","RW","2394","FA","26","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*031ux*","Nolan De Jong","(N/A)","D","2395","FA","30","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03cyt*","Chase De Leo","(N/A)","C","2397","FA","29","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*05o4i*","Mathieu De St. Phalle","PIT","RW","2399","FA","25","@NYR Tue 6:00PM","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*06gyj*","Nicholas DeAngelis","CBJ","D","2400","FA","21","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*06cko*","Michael DeAngelo","(N/A)","LW","2401","FA","20","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03wme*","Derek DeBlois","(N/A)","RW","2402","FA","34","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02ni9*","Brandon DeFazio","(N/A)","LW","2403","FA","36","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01zua*","Tony DeHart","(N/A)","D","2405","FA","35","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02i6m*","Danny DeKeyser","(N/A)","D","2406","FA","35","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*00qky*","James DeLory","(N/A)","D","2407","FA","37","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*048xo*","Dan DeSalvo","(N/A)","C","2409","FA","33","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02fsj*","Philip DeSimone","MTL","LW","2411","FA","38","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03wl6*","Chris DeSousa","(N/A)","LW","2412","FA","34","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02odm*","Matthew Deblouw","CGY","C","2415","FA","31","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*0243r*","Robby Dee","EDM","C","2416","FA","38","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*06pe0*","Mathias Dehli","(N/A)","C","2417","FA","19","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*06c92*","Frantisek Dej","(N/A)","C","2418","FA","20","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*04rn9*","Anthony Del Gaizo","(N/A)","LW","2420","FA","27","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02445*","Dan Delisle","CHI","C","2424","FA","34","@FLA Tue 3:00PM","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01ud2*","Steven Delisle","(N/A)","D","2425","FA","35","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01cfl*","Stefan Della Rovere","TOR","LW","2428","FA","35","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*05x9b*","Tory Dello","NJD","D","2429","FA","28","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02o7g*","Alexander Delnov","FLA","LW","2431","FA","31","CHI Tue 3:00PM","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03jvv*","Anthony Deluca","(N/A)","LW","2432","FA","30","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*05o62*","Matt Demelis","(N/A)","LW","2435","FA","26","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*015xa*","Jason Demers","(N/A)","D","2436","FA","37","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02435*","Julien Demers","SJS","D","2437","FA","35","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*031v9*","Mitchell Dempsey","BOS","LW","2440","FA","30","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03yq6*","Brandon Denham","WPG","RW","2443","FA","33","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*04l2a*","Simon Denis","(N/A)","D","2444","FA","34","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*00qs8*","Vladimir Denisov","(N/A)","D","2445","FA","41","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*004o6*","Chad Denny","PHI","D","2447","FA","38","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*027c8*","Roman Derlyuk","(N/A)","D","2451","FA","38","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*00qm2*","Guillaume Desbiens","(N/A)","RW","2453","FA","40","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01fuj*","Nicolas Deschamps","(N/A)","LW","2454","FA","35","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03cae*","Jaedon Descheneau","(N/A)","RW","2455","FA","30","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03sdc*","Luc Deschenes","(N/A)","D","2456","FA","28","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*015p2*","David Desharnais","(N/A)","C","2457","FA","38","","750,000","1st","0","0","0","1380.2","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01uhe*","Andrew Desjardins","(N/A)","LW,RW","2458","FA","39","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*0381v*","Gabriel Desjardsins","COL","LW","2461","FA","32","@LAK Tue 8:30PM","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01f6a*","Simon Despres","(N/A)","D","2466","FA","34","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03riq*","Stephen Desrocher","(N/A)","D","2467","FA","29","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*05rew*","Cedric Desruisseaux","MTL","C,RW","2470","FA","25","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01mze*","Jamie Devane","PIT","LW","2472","FA","34","@NYR Tue 6:00PM","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*004o9*","Andre Deveaux","(N/A)","C","2473","FA","41","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*04l3v*","Jimmy Devito","(N/A)","C","2475","FA","31","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*030vl*","Brandon Devlin","(N/A)","D","2476","FA","31","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*0253m*","Philip-Michael Devos","(N/A)","C","2478","FA","35","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02o74*","Thomas Di Pauli","(N/A)","C,RW","2480","FA","31","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01cws*","Justin DiBenedetto","(N/A)","C","2481","FA","37","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*016kw*","Devin DiDiomete","(N/A)","LW","2482","FA","37","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*015te*","Christopher DiDomenico","(N/A)","C,LW,RW","2483","FA","36","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*0393s*","Anthony DiFruscia","(N/A)","LW","2484","FA","30","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03kig*","Mike DiPaolo","SJS","RW","2485","FA","31","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*05ilh*","Dawson DiPietro","BUF","LW","2486","FA","29","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*031ol*","Jonathan-Ismael Diaby","(N/A)","D","2489","FA","30","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02zqb*","Joe Diamond","WSH","LW","2490","FA","36","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*0275f*","Raphael Diaz","(N/A)","D","2491","FA","39","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02fq3*","Darren Dietz","(N/A)","D","2497","FA","32","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03eds*","Cristiano Digiacinto","NYR","LW","2498","FA","29","PIT Tue 6:00PM","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03219*","Grigory Dikushin","(N/A)","LW","2499","FA","30","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*06fqb*","Nolan Dillingham","TOR","D","2501","FA","23","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*024d6*","Jeff Dimmen","(N/A)","D","2503","FA","39","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*015j4*","Ryan Dingle","(N/A)","LW","2504","FA","41","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*04wy0*","Jagger Dirk","(N/A)","D","2508","FA","32","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*05uxm*","Nikita Dishkovsky","(N/A)","RW","2509","FA","22","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*003d7*","Stephen Dixon","(N/A)","C","2510","FA","39","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02odt*","Christian Djoos","(N/A)","D","2511","FA","31","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03wnn*","Charlie Dodero","TBL","D","2513","FA","32","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*00590*","Nick Dodge","(N/A)","RW","2514","FA","39","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*0385s*","Kayle Doetzel","CGY","D","2515","FA","30","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01mz7*","Taylor Doherty","(N/A)","D","2516","FA","34","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03mpb*","Teddy Doherty","(N/A)","D","2517","FA","31","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03kof*","Cody Donaghey","(N/A)","D","2519","FA","29","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*004mj*","Ryan Donally","(N/A)","LW","2520","FA","40","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*0340k*","Troy Donnay","(N/A)","D","2522","FA","31","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*048zk*","Mike Donnellan","(N/A)","D","2523","FA","36","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02fd3*","Dillon Donnelly","COL","D","2524","FA","31","@LAK Tue 8:30PM","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01svk*","Matt Donovan","NSH","D","2527","FA","35","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*01zvj*","Joonas Donskoi","(N/A)","RW","2529","FA","33","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*026kd*","Jamie Doornbosch","(N/A)","D","2530","FA","35","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*03n0h*","Daniel Doremus","SJS","RW","2531","FA","33","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*05x6x*","Noah Dorey","(N/A)","D","2532","FA","22","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*04z8t*","Casey Dornbach","MIN","RW","2534","FA","28","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*042x7*","Alex Dostie","(N/A)","C,LW","2537","FA","28","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*02oap*","Jake Dotchin","(N/A)","D","2538","FA","31","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
"*038mu*","Jacob Doty","(N/A)","C","2539","FA","32","","750,000","1st","0","0","0","-","0%","0","0","0","0","0","0","0","0","0","0","0","0","","","","0","0"
